"Priority","ID","Pattern_ID","Conditions","Impact","Classification","WCAG_SC","WCAG_Level","WCAG_Name","Suggested_Issue_Tags","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"1","DRUPAL-A11Y-001","DRU-58ED44E2","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","48","4%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","label[for=""edit-preferred-theme""]","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-4CE96C73; INS-BEBAEE99; INS-3109739F; INS-D97EA76E; INS-DAFA4C86; INS-3B4D82ED; INS-75A47865; INS-22C1311B; INS-78685421; INS-F7CC39E0; INS-23C49404; INS-7CD18366; INS-EADCB329; INS-44FCACE8; INS-5FABFE21; INS-FF0BE7E6; INS-35918395; INS-21DF06EB; INS-BC4411B5; INS-3BBD9BD5; INS-ADA0B8D0; INS-F5A01E7F; INS-11AA2F29; INS-6F0D2701; INS-97139980; INS-7C442FA9; INS-C7DA2EDF; INS-573985F2; INS-0D4F785F; INS-E4B2C2C3; INS-CBDBD996; INS-80E41BD7; INS-D483E40C; INS-55D3ED9F; INS-DE493395; INS-AFA1FF8E; INS-55CD26C0; INS-AD5CEC11; INS-2221869E; INS-7508A508; INS-E58A96AF; INS-D056F298; INS-1762ABFD; INS-7B4832F5; INS-AF3434F9; INS-A78E5F57; INS-BB3A11EC; INS-687A7BCD","/admin/config/content/formats/manage/restricted_html; /admin/config/system/site-information; /admin/form_style; /admin/modules; /admin/people; /admin/structure/display-modes/form/add/contact_message; /admin/structure/taxonomy/add; /admin/structure/taxonomy; /admin/structure/types/add; /admin/structure/types/manage/test_type/display/default; /autocomplete; /buttons; /contact/checkbox_radio; /contact/field_cardinality_test; /contact/imagefile_file; /contact/imagefile_image; /contact/presuf_number; /contact/presuf_number; /contact/presuf_number; /contact/presuf_number; /contact/presuf_text; /contact/presuf_text; /contact/presuf_text; /contact/select; /contact/select; /contact/select; /contact/select; /contact/textarea; /contact/textarea; /contact/textform; /contact/textform; /contact/textform; /dropbutton; /fieldset; /node/add/article; /node/add/cd; /node/add/cd; /node/add/cd; /node/add/cd; /node/add/page; /password; /password; /password; /password; /progress; /progress; /progress; /user/[id]/edit"
"2","DRUPAL-A11Y-002","DRU-6CBB7080","admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","42","3%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--burger > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-FFDD0E70; INS-E54F6082; INS-C5421747; INS-EC98A7D5; INS-04BA395A; INS-8286C33E; INS-12818A09; INS-C88690BA; INS-E3E94319; INS-78C18018; INS-3AE5172D; INS-618FD992; INS-6711F306; INS-3571B450; INS-872A8F0E; INS-6A646C89; INS-F728B786; INS-C58F62BB; INS-96EDC993; INS-30E173A0; INS-500ABEB0; INS-5232EDDC; INS-98A284FF; INS-B1C146E1; INS-7271A15D; INS-E983A00E; INS-41091976; INS-ACFD8B9E; INS-6A93400B; INS-75BDDBD6; INS-07905855; INS-441EC7C7; INS-50CC7E7F; INS-2EAB1F56; INS-928DAAF2; INS-B423E138; INS-6DC269C7; INS-643AF3EF; INS-4FABE1C2; INS-EA05BDEC; INS-A10A3B05; INS-D199E667","/cd-navigation/config; /cd-navigation/config; /cd-navigation/config; /contact/presuf_number; /contact/presuf_number; /contact/presuf_number; /contact/presuf_text; /contact/presuf_text; /contact/presuf_text; /contact/select; /contact/select; /contact/select; /contact/textarea; /contact/textarea; /contact/textarea; /contact/textform; /contact/textform; /contact/textform; /message; /message; /message; /node/add/cd; /node/add/cd; /node/add/cd; /password; /password; /password; /progress; /progress; /progress; /table; /table; /table; /tabledrag; /tabledrag; /tabledrag; /tabs/format/plain_text; /tabs/format/plain_text; /tabs/format/plain_text; /tabs; /tabs; /tabs"
"3","DRUPAL-A11Y-003","DRU-D62C6EC9","admin-accent-yellow::light::desktop | claro::light::desktop | claro::light::mobile | claro::light::mobile-landscape | claro::light::tablet | admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","48","4%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-submit","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-A67A9E01; INS-2DF92ABB; INS-82415EDA; INS-F33227D7; INS-B288F0B1; INS-1334BD3E; INS-A3DBD29E; INS-B42CAB9D; INS-9CAC7E38; INS-8015E63B; INS-4EDFD1F0; INS-A3C4D63C; INS-595B7F04; INS-91E640A5; INS-F9F14A29; INS-A623258F; INS-AAE2831D; INS-2594210C; INS-8635FB56; INS-05EED564; INS-2D453C92; INS-AFABD6E7; INS-9E9E3A6E; INS-15C0E33F; INS-C30763AC; INS-E9B64E07; INS-AB65FFAB; INS-8F398DC9; INS-F9D51E91; INS-F80C06CB; INS-9068814C; INS-1FAEE9D4; INS-85757E9F; INS-3578DF3A; INS-95B3E936; INS-ED6D9F62; INS-7AAA5554; INS-F4363A69; INS-D4BF418F; INS-3CAD5090; INS-6BADCABE; INS-2FBAFC31; INS-E6EB8026; INS-201A9AED; INS-3122B3D0; INS-2E2457E9; INS-7CA7C012; INS-213AC9AF","/admin/appearance; /admin/config/content/formats; /admin/config/system/site-information; /admin/content; /admin/content; /admin/content; /admin/content; /admin/form_style; /admin/modules; /admin/people; /admin/people; /admin/people; /admin/people; /admin/structure/block; /admin/structure/display-modes/form/add/contact_message; /admin/structure/taxonomy/add; /admin/structure/taxonomy; /admin/structure/types/add; /admin/structure/types/manage/test_type/display/default; /autocomplete; /buttons; /contact/checkbox_radio; /contact/field_cardinality_test; /contact/imagefile_file; /contact/imagefile_image; /contact/presuf_formatted; /contact/presuf_number; /contact/presuf_text; /contact/select; /contact/textarea; /contact/textform; /fieldset; /node/add/article; /node/add/cd; /node/add/page; /password; /progress; /table; /tabledrag; /user/[id]/edit; /buttons; /table; /table; /table; /table; /admin/structure/types/add; /buttons; /buttons"
"4","DRUPAL-A11Y-004","DRU-5CF2AC9D","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","29","2%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--theming-tools-dashboard > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-D05074CE; INS-E4A9005C; INS-C881A93E; INS-C25B7E16; INS-5957890F; INS-1A4B3186; INS-4B0BACFB; INS-AAC1D123; INS-4D3B59A3; INS-23334D2C; INS-5C83144F; INS-172624D6; INS-E48F388E; INS-B8323DC0; INS-34EB71C1; INS-5133A9AB; INS-29524F72; INS-E3FC59C7; INS-5FEDA3FB; INS-C1CAAF43; INS-A16F4FEB; INS-5C2ACA16; INS-F4062807; INS-82F2E69B; INS-74AEE6F5; INS-31BDD588; INS-57928335; INS-20ACCFCA; INS-3DCA4105","/admin/appearance; /admin/config/system/site-information; /admin/content; /admin/structure/display-modes/form/add/contact_message; /admin/structure/types/manage/test_type/display/default; /autocomplete; /buttons; /cd-navigation/config; /contact/checkbox_radio; /contact/field_cardinality_test; /contact/imagefile_file; /contact/imagefile_image; /contact/presuf_formatted; /contact/presuf_number; /contact/presuf_text; /contact/select; /contact/textarea; /contact/textform; /dialog; /dropbutton; /fieldset; /message; /node/add/cd; /password; /progress; /table; /tabledrag; /tabs/format/plain_text; /tabs"
"5","DRUPAL-A11Y-005","DRU-850DCDEB","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop | admin-dark::dark::desktop | admin-dark::dark::mobile | admin-dark::dark::mobile-landscape | admin-dark::dark::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","26","2%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","label","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-DA8536C0; INS-2E6E5277; INS-963A6B1C; INS-A1E49634; INS-2727AE27; INS-79261CE7; INS-97640BF9; INS-B6EBA962; INS-C7F392BD; INS-B9A69863; INS-6EC724FB; INS-A739D8F3; INS-12C55ECB; INS-55E847C8; INS-35EB9EBF; INS-95273731; INS-AB2A3508; INS-BB161EB8; INS-345C0C51; INS-06E5AE21; INS-A3BA463A; INS-1B7B35A4; INS-8B209364; INS-38F7C2DE; INS-19FC665A; INS-7B242CAB","/admin/config; /admin/reports; /admin/structure/types; /admin/structure; /admin; /cd-navigation/config; /cd-navigation/config; /cd-navigation/config; /cd-navigation/config; /dialog; /message; /message; /message; /message; /tabs/format/plain_text; /tabs/format/plain_text; /tabs/format/plain_text; /tabs/format/plain_text; /tabs; /tabs; /tabs; /tabs; /this-page-does-not-exist; /this-page-does-not-exist; /this-page-does-not-exist; /this-page-does-not-exist"
"6","DRUPAL-A11Y-006","DRU-1296E451","admin-accent-yellow::light::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","5","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".button--action","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-C6EB3D6D; INS-3B67D91D; INS-230DF573; INS-903DECEC; INS-650E20AF","/admin/config/content/formats; /admin/content; /admin/people; /admin/structure/taxonomy; /admin/structure/types"
"7","DRUPAL-A11Y-007","DRU-F4687B6D","admin-accent-dark_purple::dark::desktop | admin-accent-dark_purple::light::desktop | admin-accent-green::dark::desktop | admin-accent-green::light::desktop | admin-accent-light_blue::dark::desktop | admin-accent-light_blue::light::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-orange::light::desktop | admin-accent-pink::dark::desktop | admin-accent-pink::light::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-red::light::desktop | admin-accent-teal::dark::desktop | admin-accent-teal::light::desktop | admin-accent-yellow::dark::desktop | admin-accent-yellow::light::desktop | admin::light::desktop | admin::light::mobile | admin::light::mobile-landscape | admin::light::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-D5ED5CE3; INS-6F74B1DE; INS-3A4B92C9; INS-3093923A","/admin/people; /admin/people; /admin/people; /admin/people"
"8","DRUPAL-A11Y-008","DRU-E5B556BF","admin-accent-dark_purple::dark::desktop | admin-accent-dark_purple::light::desktop | admin-accent-green::dark::desktop | admin-accent-green::light::desktop | admin-accent-light_blue::dark::desktop | admin-accent-light_blue::light::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-orange::light::desktop | admin-accent-pink::dark::desktop | admin-accent-pink::light::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-red::light::desktop | admin-accent-teal::dark::desktop | admin-accent-teal::light::desktop | admin-accent-yellow::dark::desktop | admin-accent-yellow::light::desktop | admin::light::desktop | admin::light::mobile | admin::light::mobile-landscape | admin::light::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","summary > em:nth-child(1)","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-605CFBC6; INS-C354186E; INS-0D30274C; INS-665BA162","/admin/people; /admin/people; /admin/people; /admin/people"
"9","DRUPAL-A11Y-009","DRU-E34F9E45","admin-accent-dark_purple::dark::desktop | admin-accent-dark_purple::light::desktop | admin-accent-green::dark::desktop | admin-accent-green::light::desktop | admin-accent-light_blue::dark::desktop | admin-accent-light_blue::light::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-orange::light::desktop | admin-accent-pink::dark::desktop | admin-accent-pink::light::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-red::light::desktop | admin-accent-teal::dark::desktop | admin-accent-teal::light::desktop | admin-accent-yellow::dark::desktop | admin-accent-yellow::light::desktop | admin::light::desktop | admin::light::mobile | admin::light::mobile-landscape | admin::light::tablet","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","12","1%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","em:nth-child(2)","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-70044269; INS-C5304CBB; INS-9863CD4D; INS-07E6C469; INS-31257362; INS-FEC80FC4; INS-491A5032; INS-DB9B5A12; INS-0CC9CF91; INS-A58F4C81; INS-F6C1CA01; INS-4BAE191A","/admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people"
"10","DRUPAL-A11Y-010","DRU-09E68687","admin-accent-dark_purple::dark::desktop | admin-accent-green::dark::desktop | admin-accent-light_blue::dark::desktop | admin-accent-neutral::dark::desktop | admin-accent-orange::dark::desktop | admin-accent-pink::dark::desktop | admin-accent-purple::dark::desktop | admin-accent-red::dark::desktop | admin-accent-teal::dark::desktop | admin-accent-yellow::dark::desktop","serious","WCAG failure","1.4.3","AA","Contrast (Minimum)","Accessibility, wcag143","color-contrast","4","0%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min",".toolbar-button--icon--system-admin-structure > .toolbar-button__label[data-toolbar-text=""""]","toolbar (admin theme)","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-A3357781; INS-30D1E69D; INS-70A37429; INS-D9F10DB4","/admin/structure/block; /admin/structure/taxonomy; /admin/structure/types; /admin/structure"
