"Priority","ID","Pattern_ID","Conditions","Impact","WCAG_SC","WCAG_Level","WCAG_Name","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"1","DRUPAL-A11Y-001","DRU-6CA3D5EB","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","critical","1.3.1","A","Info and Relationships","label","4","0%","YES","label: Ensure every form element has a label","#edit-imagefile-file-limited-N-display","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/label?application=playwright","INS-94BD37A1; INS-B2D7B1D7; INS-7B9BD2A8; INS-F76BAB53","/contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file"
"2","DRUPAL-A11Y-002","DRU-F75A07EF","admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","176","8%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","a[hreflang=""he""]","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-ADF181A8; INS-A7A50CC3; INS-B6D6E5FD; INS-D8E038B2; INS-E925138B; INS-F3148027; INS-02A89CF4; INS-C8DC340C; INS-A8B34B7A; INS-80DD6DF5; INS-1D9EF825; INS-690A394F; INS-D1ECA5AA; INS-C9A48EB0; INS-3136A1CF; INS-F8FAB302; INS-4EDE360C; INS-41D152FA; INS-96F36782; INS-6070AB73; INS-C97C5AC6; INS-E0554554; INS-03A6B2E8; INS-2CF13380; INS-0FA30158; INS-E0123C22; INS-29E2F53F; INS-4AA931A8; INS-9B4D547C; INS-8776467D; INS-F5FC6697; INS-35D28DF6; INS-D0F8880E; INS-26B55805; INS-032E4A9B; INS-83FCB300; INS-921582DE; INS-713E8717; INS-06C9F677; INS-BD086751; INS-A3A87168; INS-92B5D341; INS-29F9CE92; INS-20634D44; INS-D0D22455; INS-B10AB0D3; INS-D89BA286; INS-E1388273; INS-04EA3C0B; INS-30F2F1D2; INS-5DFB8765; INS-74DBB51F; INS-3929AE17; INS-2D21799A; INS-60EC1C25; INS-3933FA66; INS-E5F0A65A; INS-353C4DCE; INS-FE0E292A; INS-8D8B3032; INS-91CB71DF; INS-F6420247; INS-40D8516F; INS-CABC793C; INS-A804B62B; INS-7897A719; INS-C2424E0D; INS-C9B08842; INS-55688F77; INS-95C9D918; INS-9F6B9FBA; INS-D68C319E; INS-FF0DA1EB; INS-2484DC91; INS-0C5D645C; INS-B02E4CB5; INS-FE28ED00; INS-77B142DD; INS-D8E7D195; INS-DA189E5D; INS-7E8C0640; INS-43704011; INS-DDFA493D; INS-A2BCF4DC; INS-FB949FA8; INS-CFE2846E; INS-9264C5AA; INS-0963AA36; INS-90B1B878; INS-0D02890F; INS-C1A3581E; INS-4A227943; INS-A3388C0D; INS-FFD0CAF4; INS-3DB3E042; INS-69FE894A; INS-4B7DC049; INS-E8E0BF63; INS-8649CAF6; INS-953B728A; INS-64D58C92; INS-1E99EC03; INS-BD52BCB7; INS-A335A1C2; INS-F5A5CA2D; INS-282FDB74; INS-67649F98; INS-E6ACA364; INS-E471FE7E; INS-E278710D; INS-85F2724D; INS-C645B25F; INS-F393A65E; INS-79EDA871; INS-B5FDEBE5; INS-F59FF3FE; INS-804AE08E; INS-7E14A151; INS-A61F8F30; INS-4F6D7DE4; INS-6E755773; INS-7BCD623B; INS-69A32E17; INS-A1E20A6A; INS-D74EA267; INS-60B202C2; INS-B7DB2019; INS-6A799FA3; INS-9420EF8E; INS-15E330C3; INS-B2CCBE9D; INS-0071637C; INS-A62E76A6; INS-5F86E242; INS-FCA6A753; INS-A50881B3; INS-2050E688; INS-549FF1BD; INS-AE1C8171; INS-25EB4AC3; INS-F2051F47; INS-45841B52; INS-0455C23A; INS-4E299580; INS-F983153C; INS-B2B49D6C; INS-2DFFAA02; INS-CF471900; INS-EB86F88D; INS-95D40A24; INS-0A92AD32; INS-D40BE41F; INS-EFBCBB92; INS-701590D6; INS-E4898A9D; INS-72C1BCC2; INS-996DA672; INS-C4F40ED3; INS-018E006A; INS-A0871F17; INS-19470142; INS-C4C2D3AE; INS-CAE3FDE3; INS-3AA340AD; INS-10697389; INS-E61D3FEB; INS-BE832DAC; INS-32A7C8C3; INS-CC4E5B84; INS-4F001513; INS-57557F7B; INS-1E91D181; INS-E4C3D7C6; INS-C6066AD3; INS-B74E58E8; INS-1763A2E3","/admin; /admin; /admin/form_style; /admin/form_style; /admin/content; /admin/content; /node/add/article; /node/add/article; /node/add/page; /node/add/page; /admin/structure; /admin/structure; /admin/structure/types; /admin/structure/types; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/structure/taxonomy/add; /admin/structure/taxonomy/add; /admin/structure/block; /admin/structure/block; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /action-link; /action-link; /user/login; /user/login; /user/password; /user/password; /search/node; /search/node; /admin; /admin; /admin/form_style; /admin/form_style; /node/add/article; /node/add/article; /node/add/page; /node/add/page; /admin/structure; /admin/structure; /admin/structure/types; /admin/structure/types; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/structure/taxonomy/add; /admin/structure/taxonomy/add; /admin/structure/block; /admin/structure/block; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /action-link; /action-link; /user/login; /user/login; /user/password; /user/password; /search/node; /search/node; /; /; /; /; /admin/form_style; /admin/form_style; /admin/content; /admin/content; /node/add/article; /node/add/article; /node/add/page; /node/add/page; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/structure/taxonomy/add; /admin/structure/taxonomy/add; /admin/structure/block; /admin/structure/block; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /admin/people; /admin/people; /admin/content; /admin/content; /admin/structure/types; /admin/structure/types; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /admin/structure/block; /admin/structure/block; /admin; /admin; /admin/content; /admin/content; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/block; /admin/structure/block; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /admin/modules; /admin/modules; /; /; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /action-link; /user/login; /user/login; /user/password; /user/password; /search/node; /search/node; /user/register; /user/register; /user/register; /user/register; /this-page-does-not-exist; /this-page-does-not-exist; /this-page-does-not-exist; /this-page-does-not-exist; /admin/structure/block; /admin/structure/block; /admin/structure/block; /admin/structure/block; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/types/add"
"3","DRUPAL-A11Y-003","DRU-987EB788","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile | admin::light::desktop | admin::light::mobile","serious","1.3.1","A","Info and Relationships","label-title-only","14","1%","YES","""Select all rows"" checkbox is labeled only by its title attribute","input[title=""Select all rows in this table""]","unknown","core/themes/claro/templates/classy/dataset/table.html.twig     core/themes/admin/templates/dataset/table.html.twig","Checkbox has a visible or visually-hidden <label>, or aria-label","input[title=""Select all rows in this table""] — title is the sole label source","Replace the title-only label with aria-label:  <!-- Before (broken) --> <input type=""checkbox"" title=""{{ 'Select all rows in this table'|t }}"">  <!-- After (fixed) --> <input type=""checkbox""   aria-label=""{{ 'Select all rows in this table'|t }}"">","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/label-title-only?application=playwright","INS-D6A47BCB; INS-D9AD9720; INS-631CA206; INS-5F43B594; INS-AFFA444F; INS-41328F01; INS-311ACB28; INS-70DF180C; INS-F4DA69C2; INS-098B09CD; INS-9D772808; INS-2C5FBD36; INS-CB68FC02; INS-50910191","/admin/content; /admin/content; /admin/people; /admin/people; /table; /table; /admin/content; /admin/content; /admin/content; /admin/content; /contact/checkbox_radio; /contact/checkbox_radio; /contact/checkbox_radio; /contact/checkbox_radio"
"4","DRUPAL-A11Y-004","DRU-CC36FB25","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","2.4.3","A","Focus Order","tabindex","12","1%","YES","tabindex: Ensure tabindex attribute values are not greater than 0","#edit-submit","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/tabindex?application=playwright","INS-8D919E9F; INS-CAB80BF0; INS-A357FA62; INS-1A8E3C8A; INS-4881B6B1; INS-156540A8; INS-00588EC7; INS-3F6254E0; INS-2C9CAF62; INS-C767C3EA; INS-4C49F093; INS-E7E947B6","/buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons"
"5","DRUPAL-A11Y-005","DRU-4422E904","admin::light::desktop | claro-dark::dark::desktop | claro::light::desktop","serious","unknown","?","See axe docs","summary-name","1","0%","no","summary-name: Ensure summary elements have discernible text","#edit-modules-nyan-cat-enable-description > .module-list__module-summary","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/summary-name?application=playwright","INS-DFE4E5BD","/admin/modules"
"6","DRUPAL-A11Y-006","DRU-6BA9E02D","admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile | olivero-dark::dark::desktop | olivero-dark::dark::mobile | olivero::light::desktop | olivero::light::mobile","moderate","1.3.6","A","Identify Purpose","region","128","6%","YES","region: Ensure all page content is contained by landmarks",".themeswitcher-form__form-item","form-element.html.twig","See likely_template above","","","Ensure all visible content is inside a landmark element (<main>, <nav>, <aside>, <header>, <footer>). Check page.html.twig and block placement.","","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-D8DE6AC1; INS-F0C4F2C1; INS-83E2F270; INS-A3BAFC54; INS-565D5E04; INS-E66D392C; INS-34D3B6E6; INS-3AE334AB; INS-D89718F7; INS-C8AC947D; INS-089837C7; INS-AD065F7B; INS-1F0E5C7A; INS-0420759A; INS-FBDFDDE1; INS-F6222FEA; INS-51A7195E; INS-866D8A1F; INS-26112C87; INS-37EFF8DC; INS-001C27FA; INS-38000B83; INS-C74D84C8; INS-FF2DB6B1; INS-EB461FD0; INS-DEB0E01D; INS-BB8DE047; INS-DC077153; INS-343FB881; INS-6788C962; INS-0EF67DB9; INS-74810756; INS-63D59683; INS-20AC4120; INS-F21125DF; INS-636E78C8; INS-44C022F1; INS-B724274A; INS-0C9A0403; INS-9BDAC1ED; INS-203E1CD2; INS-FA09BF07; INS-35D2713C; INS-7DC312DB; INS-E427825B; INS-6F951C47; INS-22C5B103; INS-88F5EE60; INS-2AE13BCB; INS-3AE351E7; INS-C15EEB54; INS-BCB4F132; INS-760F267C; INS-2E5FC9E0; INS-814B6CFE; INS-5882C95B; INS-FA2A20D1; INS-E20671AE; INS-924D863B; INS-B73E1074; INS-D059761D; INS-077300B7; INS-6671D464; INS-EE92CDEF; INS-26CD137D; INS-494B15C6; INS-206E1DCE; INS-CCBE2A0F; INS-18ECCC55; INS-B8AF800F; INS-115ABFF8; INS-BAEE3A35; INS-B5A36498; INS-C4CE338B; INS-F8D1D7E6; INS-F5AEF57A; INS-38B49EEF; INS-0769D6CD; INS-62B880CE; INS-71DFB250; INS-CE3E0BFE; INS-613A665F; INS-C0A71F89; INS-DF4DA25A; INS-CF919880; INS-17F11137; INS-F7B8F881; INS-76E12963; INS-3B1ECF24; INS-762B0C83; INS-548386BA; INS-922195A3; INS-7CFE618D; INS-E6B1F764; INS-30B71F0D; INS-57B6553C; INS-E4AA2E02; INS-DF13AB5A; INS-0D3ED81E; INS-F83D856B; INS-868C8A7E; INS-3D2920D2; INS-81C44978; INS-270738CF; INS-9118E488; INS-2E5F28D5; INS-ED5789D1; INS-CA3F486A; INS-6261BD8B; INS-AD498A59; INS-7BFD0B73; INS-6F860D5F; INS-66F0411F; INS-95DE8A2C; INS-5D29050A; INS-3E19E7EC; INS-BC3B17C9; INS-4AA1B1B9; INS-94EA0EA1; INS-806AF88F; INS-F6796033; INS-8E336E32; INS-164962E7; INS-4D0090DA; INS-F517503C; INS-CFCBB8DB; INS-08C28518; INS-A833DA67","/admin; /admin; /admin/form_style; /admin/form_style; /admin/content; /admin/content; /node/add/article; /node/add/article; /node/add/page; /node/add/page; /admin/structure; /admin/structure; /admin/structure/types; /admin/structure/types; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/structure/taxonomy/add; /admin/structure/taxonomy/add; /admin/structure/block; /admin/structure/block; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /; /; /action-link; /action-link; /user/login; /user/login; /user/register; /user/register; /user/password; /user/password; /search/node; /search/node; /this-page-does-not-exist; /this-page-does-not-exist; /admin/people; /admin/people; /user/[id]/edit; /user/[id]/edit; /admin/config; /admin/config; /admin/config/content/formats; /admin/config/content/formats; /admin/config/content/formats/manage/restricted_html; /admin/config/content/formats/manage/restricted_html; /admin/config/system/site-information; /admin/config/system/site-information; /admin/reports; /admin/reports; /autocomplete; /autocomplete; /buttons; /buttons; /contact/checkbox_radio; /contact/checkbox_radio; /dialog; /dialog; /dropbutton; /dropbutton; /contact/field_cardinality_test; /contact/field_cardinality_test; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /fieldset; /fieldset; /contact/imagefile_file; /contact/imagefile_file; /contact/presuf_formatted; /contact/presuf_formatted; /contact/imagefile_image; /contact/imagefile_image; /admin/structure/display-modes/form/add/contact_message; /admin/structure/display-modes/form/add/contact_message; /message; /message; /cd-navigation/config; /cd-navigation/config; /contact/presuf_number; /contact/presuf_number; /tabs/format/plain_text; /tabs/format/plain_text; /password; /password; /progress; /progress; /contact/select; /contact/select; /node/add/cd; /node/add/cd; /table; /table; /tabledrag; /tabledrag; /tabs; /tabs; /contact/textform; /contact/textform; /contact/presuf_text; /contact/presuf_text; /contact/textarea; /contact/textarea; /admin; /admin; /admin/content; /admin/content; /admin/structure/types; /admin/structure/types; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /user/login; /user/login; /user/password; /user/password; /admin/structure/block; /admin/structure/block; /admin/content; /admin/content; /admin/structure/types; /admin/structure/types; /admin/structure/taxonomy; /admin/structure/taxonomy"
"7","DRUPAL-A11Y-007","DRU-2E022F2F","admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-contentinfo-is-top-level","20","1%","YES","landmark-contentinfo-is-top-level: Ensure the contentinfo landmark is at top level",".messages--error","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-contentinfo-is-top-level?application=playwright","INS-176AF555; INS-1E1F5949; INS-F35573C5; INS-90DB76B9; INS-C77800EB; INS-E1083638; INS-33B07066; INS-8F094E37; INS-35544EB1; INS-83F42AFC; INS-54574906; INS-20150FA9; INS-32AE2346; INS-6340BB49; INS-8EA427CF; INS-44531B14; INS-B015FF40; INS-91297A72; INS-EBE0F49A; INS-FF71DDFC","/admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /message; /message; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /message; /message; /message; /message; /message; /message; /message; /message; /admin/config; /admin/config"
"8","DRUPAL-A11Y-008","DRU-1260AB7D","admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-no-duplicate-contentinfo","6","0%","YES","Status messages block uses role=""contentinfo"", duplicating the page <footer>",".messages--error","unknown","core/themes/claro/templates/misc/status-messages.html.twig     core/modules/system/templates/status-messages.html.twig","Status messages use role=""status"" (non-error) or role=""alert"" (errors)","<div role=""contentinfo"" aria-labelledby=""…""> — conflicts with the page footer landmark","Change the outer wrapper role based on message type:  {# Before (broken) #} <div role=""contentinfo"" aria-labelledby=""{{ title_ids[type] }}""…>  {# After (fixed) #} {%- set msg_role = (type == 'error') ? 'alert' : 'status' -%} <div role=""{{ msg_role }}"" aria-labelledby=""{{ title_ids[type] }}""…>","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/landmark-no-duplicate-contentinfo?application=playwright","INS-0F387792; INS-594DA129; INS-D74E025B; INS-CD2D6DED; INS-217D3820; INS-1358DBF4","/admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /message; /message"
"9","DRUPAL-A11Y-009","DRU-20662ED4","admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.1","A","Info and Relationships","heading-order","20","1%","YES","heading-order: Ensure the order of headings is semantically correct","div[data-drupal-selector=""edit-test-datelist""] > h4","unknown","See likely_template above","","","Heading levels must not skip. Audit the page heading hierarchy and adjust template markup.","","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright","INS-F67227FA; INS-A876FF70; INS-FD2C0F28; INS-622EF2AF; INS-F8772D3C; INS-B696306F; INS-6C963C7F; INS-B0239B5D; INS-E6A19988; INS-568F7E0B; INS-AB298E5F; INS-166D9CDA; INS-79516607; INS-5A88424C; INS-62CA3978; INS-2B45D5B7; INS-49F53FC9; INS-B2A30286; INS-1940F8CC; INS-9676EF18","/admin/form_style; /admin/form_style; /admin/content; /admin/content; /admin/form_style; /admin/form_style; /autocomplete; /autocomplete; /contact/field_cardinality_test; /contact/field_cardinality_test; /contact/presuf_formatted; /contact/presuf_formatted; /cd-navigation/config; /cd-navigation/config; /contact/presuf_number; /contact/presuf_number; /contact/presuf_text; /contact/presuf_text; /contact/textform; /contact/textform"
"10","DRUPAL-A11Y-010","DRU-338C31F8","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-unique","2","0%","no","landmark-unique: Ensure landmarks are unique",".messages--info","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-unique?application=playwright","INS-72820C3E; INS-C1AF88AE","/message; /message"
