"Priority","ID","Pattern_ID","Screen","Impact","WCAG_SC","WCAG_Level","WCAG_Name","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"1","DRUPAL-A11Y-001","DRU-A88A3568","desktop","serious","1.3.1","A","Info and Relationships","listitem","5","17%","YES","Local action links render bare <li> items outside a <ul>",".action-links-item","unknown","core/themes/olivero/templates/menu-local-action.html.twig     core/themes/claro/templates/block/block--local-actions-block.html.twig","<ul class=""action-links""><li class=""action-links-item"">…</li></ul>","<li class=""action-links-item"">…</li>  (no <ul> parent)","Wrap the action-link items in a <ul>:  <!-- Before (broken) --> {% for link in action_links %}   <li class=""action-links-item"">{{ link }}</li> {% endfor %}  <!-- After (fixed) --> <ul class=""action-links""> {% for link in action_links %}   <li class=""action-links-item"">{{ link }}</li> {% endfor %} </ul>","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/listitem?application=playwright","INS-1CD63E0A; INS-0145A953; INS-F6A6FC30; INS-1B811C67; INS-D1AAE084","/admin/content; /admin/structure/types; /admin/structure/taxonomy; /admin/people; /admin/config/content/formats"
"2","DRUPAL-A11Y-002","DRU-7A2CD202","desktop","serious","1.3.1","A","Info and Relationships","label-title-only","2","7%","no","""Select all rows"" checkbox is labeled only by its title attribute","input[title=""Select all rows in this table""]","unknown","core/themes/claro/templates/classy/dataset/table.html.twig     core/themes/admin/templates/dataset/table.html.twig","Checkbox has a visible or visually-hidden <label>, or aria-label","input[title=""Select all rows in this table""] — title is the sole label source","Replace the title-only label with aria-label:  <!-- Before (broken) --> <input type=""checkbox"" title=""{{ 'Select all rows in this table'|t }}"">  <!-- After (fixed) --> <input type=""checkbox""   aria-label=""{{ 'Select all rows in this table'|t }}"">","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/label-title-only?application=playwright","INS-D6A47BCB; INS-631CA206","/admin/content; /admin/people"
"3","DRUPAL-A11Y-003","DRU-0C5EEDDE","desktop","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-hero-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-2697AEAA","/admin/structure/block"
"4","DRUPAL-A11Y-004","DRU-C8F6B7EE","desktop","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-social-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-9BE93FAB","/admin/structure/block"
"5","DRUPAL-A11Y-005","DRU-45980683","desktop","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-sidebar-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-46B51422","/admin/structure/block"
"6","DRUPAL-A11Y-006","DRU-B6FD23D8","desktop","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-content_below-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-7421632C","/admin/structure/block"
"7","DRUPAL-A11Y-007","DRU-EDE98251","desktop","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-footer_top-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-40F7E71F","/admin/structure/block"
"8","DRUPAL-A11Y-008","DRU-4DD0A36F","desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","3%","no","Breadcrumb links are only 14px tall — WCAG 2.5.8 requires 24×24px minimum","a[href$=""admin""]","unknown","core/themes/claro/css/components/breadcrumb.css     core/themes/claro/templates/breadcrumb.html.twig","Clickable area ≥ 24×24px (WCAG 2.5.8 AA)","Breadcrumb links: 14px height, insufficient spacing from neighbours","Increase the breadcrumb link target size via CSS:  /* claro/css/components/breadcrumb.css */ .breadcrumb__link {   /* Add padding so the clickable area meets 24px minimum */   padding-block: 5px;   display: inline-block; }","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-09AEDF30","/admin/config/content/formats/manage/restricted_html"
"9","DRUPAL-A11Y-009","DRU-B5BC19D5","desktop","serious","2.5.8","AA","Target Size (Minimum)","target-size","1","3%","no","Breadcrumb links are only 14px tall — WCAG 2.5.8 requires 24×24px minimum",".breadcrumb__link[href$=""formats""]","breadcrumb.html.twig","core/themes/claro/css/components/breadcrumb.css     core/themes/claro/templates/breadcrumb.html.twig","Clickable area ≥ 24×24px (WCAG 2.5.8 AA)","Breadcrumb links: 14px height, insufficient spacing from neighbours","Increase the breadcrumb link target size via CSS:  /* claro/css/components/breadcrumb.css */ .breadcrumb__link {   /* Add padding so the clickable area meets 24px minimum */   padding-block: 5px;   display: inline-block; }","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-FFA737C7","/admin/config/content/formats/manage/restricted_html"
"10","DRUPAL-A11Y-010","DRU-53235649","mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","1","3%","no","""No blocks in this region"" placeholder text fails contrast (2.84:1, needs 4.5:1)",".region-hero-message > td[colspan=""5""] > em","region.html.twig","core/themes/claro/css/theme/block-admin.css (or its .pcss.css source)","Foreground color #767676 or darker on white (#ffffff) background → 4.54:1","color: #999999 on #ffffff → contrast ratio 2.84:1","In Claro's block-admin CSS, darken the placeholder text:  /* Before (broken) */ .block-region .region-message em {   color: #999999; }  /* After (fixed) */ .block-region .region-message em {   color: #767676; /* 4.54:1 on white */ }","https://www.drupal.org/project/drupal/issues/3318394","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-C8DA2EEA","/admin/structure/block"
